image_file	year	months	day	time	timestemp	h	w
GRAVES-XYmVV_230429075529.jpg_1	2023	04	29	075529	2023-04-29 075529	140	126
GRAVES-XYmVV_230429075829.jpg_1	2023	04	29	075829	2023-04-29 075829	186	139
GRAVES-XYmVV_230429083559.jpg_1	2023	04	29	083559	2023-04-29 083559	93	91
GRAVES-XYmVV_230429085530.jpg_1	2023	04	29	085530	2023-04-29 085530	106	73
GRAVES-XYmVV_230429085829.jpg_1	2023	04	29	085829	2023-04-29 085829	133	130
GRAVES-XYmVV_230429091329.jpg_1	2023	04	29	091329	2023-04-29 091329	77	78
GRAVES-XYmVV_230429093559.jpg_1	2023	04	29	093559	2023-04-29 093559	106	87
GRAVES-XYmVV_230429093730.jpg_1	2023	04	29	093730	2023-04-29 093730	99	114
GRAVES-XYmVV_230429094630.jpg_1	2023	04	29	094630	2023-04-29 094630	147	106
GRAVES-XYmVV_230429101929.jpg_1	2023	04	29	101929	2023-04-29 101929	110	95
GRAVES-XYmVV_230429102059.jpg_2	2023	04	29	102059	2023-04-29 102059	79	81
GRAVES-XYmVV_230429104030.jpg_1	2023	04	29	104030	2023-04-29 104030	121	81
GRAVES-XYmVV_230429105530.jpg_1	2023	04	29	105530	2023-04-29 105530	87	79
GRAVES-XYmVV_230429110730.jpg_2	2023	04	29	110730	2023-04-29 110730	115	94
GRAVES-XYmVV_230429110900.jpg_1	2023	04	29	110900	2023-04-29 110900	118	113
GRAVES-XYmVV_230429111329.jpg_1	2023	04	29	111329	2023-04-29 111329	155	175
GRAVES-XYmVV_230429111500.jpg_1	2023	04	29	111500	2023-04-29 111500	139	148
GRAVES-XYmVV_230429112059.jpg_1	2023	04	29	112059	2023-04-29 112059	113	140
GRAVES-XYmVV_230429114800.jpg_1	2023	04	29	114800	2023-04-29 114800	156	148
GRAVES-XYmVV_230429114929.jpg_2	2023	04	29	114929	2023-04-29 114929	157	145
GRAVES-XYmVV_230429115059.jpg_1	2023	04	29	115059	2023-04-29 115059	92	84
GRAVES-XYmVV_230429115230.jpg_1	2023	04	29	115230	2023-04-29 115230	87	69
GRAVES-XYmVV_230429120900.jpg_1	2023	04	29	120900	2023-04-29 120900	96	92
GRAVES-XYmVV_230429122230.jpg_1	2023	04	29	122230	2023-04-29 122230	99	93
GRAVES-XYmVV_230429123900.jpg_1	2023	04	29	123900	2023-04-29 123900	99	99
GRAVES-XYmVV_230429132230.jpg_1	2023	04	29	132230	2023-04-29 132230	84	72
GRAVES-XYmVV_230429133130.jpg_1	2023	04	29	133130	2023-04-29 133130	88	84
GRAVES-XYmVV_230429133300.jpg_1	2023	04	29	133300	2023-04-29 133300	87	69
GRAVES-XYmVV_230429140730.jpg_1	2023	04	29	140730	2023-04-29 140730	106	97
GRAVES-XYmVV_230429141800.jpg_1	2023	04	29	141800	2023-04-29 141800	94	106
GRAVES-XYmVV_230429142230.jpg_1	2023	04	29	142230	2023-04-29 142230	127	86
GRAVES-XYmVV_230429142400.jpg_1	2023	04	29	142400	2023-04-29 142400	97	79
GRAVES-XYmVV_230429143559.jpg_1	2023	04	29	143559	2023-04-29 143559	129	82
GRAVES-XYmVV_230429150300.jpg_1	2023	04	29	150300	2023-04-29 150300	105	84
GRAVES-XYmVV_230429152059.jpg_1	2023	04	29	152059	2023-04-29 152059	73	70
GRAVES-XYmVV_230429152829.jpg_1	2023	04	29	152829	2023-04-29 152829	93	95
GRAVES-XYmVV_230429154800.jpg_1	2023	04	29	154800	2023-04-29 154800	116	80
GRAVES-XYmVV_230429164030.jpg_1	2023	04	29	164030	2023-04-29 164030	127	95
GRAVES-XYmVV_230429171030.jpg_1	2023	04	29	171030	2023-04-29 171030	122	100
GRAVES-XYmVV_230429171330.jpg_1	2023	04	29	171330	2023-04-29 171330	96	73
GRAVES-XYmVV_230429172530.jpg_1	2023	04	29	172530	2023-04-29 172530	154	102
GRAVES-XYmVV_230429173000.jpg_1	2023	04	29	173000	2023-04-29 173000	92	68
GRAVES-XYmVV_230429184159.jpg_1	2023	04	29	184159	2023-04-29 184159	112	133
GRAVES-XYmVV_230429185659.jpg_1	2023	04	29	185659	2023-04-29 185659	84	68
GRAVES-XYmVV_230429190429.jpg_1	2023	04	29	190429	2023-04-29 190429	88	72
GRAVES-XYmVV_230429200859.jpg_1	2023	04	29	200859	2023-04-29 200859	122	119
GRAVES-XYmVV_230429201330.jpg_1	2023	04	29	201330	2023-04-29 201330	150	134
GRAVES-XYmVV_230429204629.jpg_2	2023	04	29	204629	2023-04-29 204629	100	69
GRAVES-XYmVV_230429205100.jpg_1	2023	04	29	205100	2023-04-29 205100	81	92
GRAVES-XYmVV_230429205230.jpg_1	2023	04	29	205230	2023-04-29 205230	97	76
GRAVES-XYmVV_230429211500.jpg_1	2023	04	29	211500	2023-04-29 211500	85	74
GRAVES-XYmVV_230429213300.jpg_1	2023	04	29	213300	2023-04-29 213300	78	84
GRAVES-XYmVV_230429214330.jpg_1	2023	04	29	214330	2023-04-29 214330	100	100
GRAVES-XYmVV_230429214800.jpg_1	2023	04	29	214800	2023-04-29 214800	85	74
GRAVES-XYmVV_230429225659.jpg_2	2023	04	29	225659	2023-04-29 225659	106	124
GRAVES-XYmVV_230429231629.jpg_1	2023	04	29	231629	2023-04-29 231629	122	97
GRAVES-XYmVV_230429232359.jpg_2	2023	04	29	232359	2023-04-29 232359	95	98
GRAVES-XYmVV_230429233300.jpg_2	2023	04	29	233300	2023-04-29 233300	80	66
GRAVES-XYmVV_230430001030.jpg_1	2023	04	30	001030	2023-04-30 001030	108	92
GRAVES-XYmVV_230430001630.jpg_1	2023	04	30	001630	2023-04-30 001630	86	94
GRAVES-XYmVV_230430002230.jpg_1	2023	04	30	002230	2023-04-30 002230	96	107
GRAVES-XYmVV_230430004030.jpg_1	2023	04	30	004030	2023-04-30 004030	126	104
GRAVES-XYmVV_230430004500.jpg_1	2023	04	30	004500	2023-04-30 004500	81	72
GRAVES-XYmVV_230430005100.jpg_1	2023	04	30	005100	2023-04-30 005100	81	85
GRAVES-XYmVV_230430005400.jpg_1	2023	04	30	005400	2023-04-30 005400	84	71
GRAVES-XYmVV_230430010000.jpg_1	2023	04	30	010000	2023-04-30 010000	101	109
GRAVES-XYmVV_230430010859.jpg_1	2023	04	30	010859	2023-04-30 010859	134	96
GRAVES-XYmVV_230430011159.jpg_1	2023	04	30	011159	2023-04-30 011159	179	166
GRAVES-XYmVV_230430011500.jpg_1	2023	04	30	011500	2023-04-30 011500	87	76
GRAVES-XYmVV_230430012230.jpg_1	2023	04	30	012230	2023-04-30 012230	133	184
GRAVES-XYmVV_230430012659.jpg_1	2023	04	30	012659	2023-04-30 012659	105	87
GRAVES-XYmVV_230430015530.jpg_1	2023	04	30	015530	2023-04-30 015530	86	81
GRAVES-XYmVV_230430020129.jpg_2	2023	04	30	020129	2023-04-30 020129	85	80
GRAVES-XYmVV_230430022700.jpg_1	2023	04	30	022700	2023-04-30 022700	86	72
GRAVES-XYmVV_230430023129.jpg_1	2023	04	30	023129	2023-04-30 023129	100	95
GRAVES-XYmVV_230430023259.jpg_1	2023	04	30	023259	2023-04-30 023259	85	75
GRAVES-XYmVV_230430025700.jpg_1	2023	04	30	025700	2023-04-30 025700	104	112
GRAVES-XYmVV_230430030129.jpg_2	2023	04	30	030129	2023-04-30 030129	81	70
GRAVES-XYmVV_230430030259.jpg_1	2023	04	30	030259	2023-04-30 030259	103	96
GRAVES-XYmVV_230430031330.jpg_1	2023	04	30	031330	2023-04-30 031330	108	104
GRAVES-XYmVV_230430031759.jpg_1	2023	04	30	031759	2023-04-30 031759	79	79
GRAVES-XYmVV_230430031930.jpg_1	2023	04	30	031930	2023-04-30 031930	104	97
GRAVES-XYmVV_230430034629.jpg_1	2023	04	30	034629	2023-04-30 034629	98	117
GRAVES-XYmVV_230430034930.jpg_1	2023	04	30	034930	2023-04-30 034930	105	89
GRAVES-XYmVV_230430041029.jpg_1	2023	04	30	041029	2023-04-30 041029	131	110
GRAVES-XYmVV_230430041200.jpg_1	2023	04	30	041200	2023-04-30 041200	154	177
GRAVES-XYmVV_230430041329.jpg_1	2023	04	30	041329	2023-04-30 041329	80	91
GRAVES-XYmVV_230430041759.jpg_1	2023	04	30	041759	2023-04-30 041759	76	77
GRAVES-XYmVV_230430042059.jpg_1	2023	04	30	042059	2023-04-30 042059	218	225
GRAVES-XYmVV_230430042230.jpg_1	2023	04	30	042230	2023-04-30 042230	198	220
GRAVES-XYmVV_230430043130.jpg_1	2023	04	30	043130	2023-04-30 043130	120	90
GRAVES-XYmVV_230430044200.jpg_1	2023	04	30	044200	2023-04-30 044200	111	99
GRAVES-XYmVV_230430045400.jpg_1	2023	04	30	045400	2023-04-30 045400	124	115
GRAVES-XYmVV_230430045529.jpg_1	2023	04	30	045529	2023-04-30 045529	118	131
GRAVES-XYmVV_230430051930.jpg_1	2023	04	30	051930	2023-04-30 051930	121	110
GRAVES-XYmVV_230430053559.jpg_1	2023	04	30	053559	2023-04-30 053559	118	93
GRAVES-XYmVV_230430061329.jpg_1	2023	04	30	061329	2023-04-30 061329	136	107
GRAVES-XYmVV_230430062400.jpg_1	2023	04	30	062400	2023-04-30 062400	166	123
GRAVES-XYmVV_230430063000.jpg_1	2023	04	30	063000	2023-04-30 063000	83	72
GRAVES-XYmVV_230430063559.jpg_1	2023	04	30	063559	2023-04-30 063559	92	99
GRAVES-XYmVV_230430064500.jpg_1	2023	04	30	064500	2023-04-30 064500	185	176
GRAVES-XYmVV_230430064759.jpg_1	2023	04	30	064759	2023-04-30 064759	116	94
GRAVES-XYmVV_230430070130.jpg_1	2023	04	30	070130	2023-04-30 070130	137	95
GRAVES-XYmVV_230430071500.jpg_1	2023	04	30	071500	2023-04-30 071500	81	81
GRAVES-XYmVV_230430073259.jpg_1	2023	04	30	073259	2023-04-30 073259	84	79
GRAVES-XYmVV_230430073430.jpg_1	2023	04	30	073430	2023-04-30 073430	79	76
GRAVES-XYmVV_230430073559.jpg_1	2023	04	30	073559	2023-04-30 073559	88	76
GRAVES-XYmVV_230430074759.jpg_1	2023	04	30	074759	2023-04-30 074759	142	121
GRAVES-XYmVV_230430075059.jpg_1	2023	04	30	075059	2023-04-30 075059	116	132
GRAVES-XYmVV_230430080300.jpg_1	2023	04	30	080300	2023-04-30 080300	100	108
GRAVES-XYmVV_230430080559.jpg_1	2023	04	30	080559	2023-04-30 080559	113	77
GRAVES-XYmVV_230430083900.jpg_1	2023	04	30	083900	2023-04-30 083900	100	91
GRAVES-XYmVV_230430090300.jpg_1	2023	04	30	090300	2023-04-30 090300	110	107
GRAVES-XYmVV_230430090900.jpg_3	2023	04	30	090900	2023-04-30 090900	77	72
GRAVES-XYmVV_230430091030.jpg_1	2023	04	30	091030	2023-04-30 091030	99	85
GRAVES-XYmVV_230430092400.jpg_2	2023	04	30	092400	2023-04-30 092400	104	84
GRAVES-XYmVV_230430094500.jpg_1	2023	04	30	094500	2023-04-30 094500	101	105
GRAVES-XYmVV_230430100300.jpg_2	2023	04	30	100300	2023-04-30 100300	82	87
GRAVES-XYmVV_230430101030.jpg_1	2023	04	30	101030	2023-04-30 101030	80	77
GRAVES-XYmVV_230430101800.jpg_1	2023	04	30	101800	2023-04-30 101800	99	92
GRAVES-XYmVV_230430102829.jpg_1	2023	04	30	102829	2023-04-30 102829	111	127
GRAVES-XYmVV_230430103000.jpg_1	2023	04	30	103000	2023-04-30 103000	101	115
GRAVES-XYmVV_230430103730.jpg_1	2023	04	30	103730	2023-04-30 103730	118	153
GRAVES-XYmVV_230430114800.jpg_1	2023	04	30	114800	2023-04-30 114800	113	90
GRAVES-XYmVV_230430115230.jpg_1	2023	04	30	115230	2023-04-30 115230	93	83
GRAVES-XYmVV_230430120559.jpg_1	2023	04	30	120559	2023-04-30 120559	130	91
GRAVES-XYmVV_230430120730.jpg_1	2023	04	30	120730	2023-04-30 120730	85	79
GRAVES-XYmVV_230430121030.jpg_2	2023	04	30	121030	2023-04-30 121030	105	96
GRAVES-XYmVV_230430121159.jpg_1	2023	04	30	121159	2023-04-30 121159	83	70
GRAVES-XYmVV_230430123000.jpg_1	2023	04	30	123000	2023-04-30 123000	94	86
GRAVES-XYmVV_230430123130.jpg_1	2023	04	30	123130	2023-04-30 123130	103	69
GRAVES-XYmVV_230430125659.jpg_1	2023	04	30	125659	2023-04-30 125659	119	93
GRAVES-XYmVV_230430131329.jpg_1	2023	04	30	131329	2023-04-30 131329	88	77
GRAVES-XYmVV_230430131800.jpg_1	2023	04	30	131800	2023-04-30 131800	111	91
GRAVES-XYmVV_230430132230.jpg_1	2023	04	30	132230	2023-04-30 132230	91	113
GRAVES-XYmVV_230430132530.jpg_1	2023	04	30	132530	2023-04-30 132530	107	85
GRAVES-XYmVV_230430132659.jpg_1	2023	04	30	132659	2023-04-30 132659	96	81
GRAVES-XYmVV_230430141500.jpg_1	2023	04	30	141500	2023-04-30 141500	91	75
GRAVES-XYmVV_230430144159.jpg_1	2023	04	30	144159	2023-04-30 144159	82	76
GRAVES-XYmVV_230430150300.jpg_1	2023	04	30	150300	2023-04-30 150300	170	149
GRAVES-XYmVV_230430151159.jpg_1	2023	04	30	151159	2023-04-30 151159	103	110
GRAVES-XYmVV_230430151500.jpg_1	2023	04	30	151500	2023-04-30 151500	104	70
GRAVES-XYmVV_230430151800.jpg_1	2023	04	30	151800	2023-04-30 151800	80	71
GRAVES-XYmVV_230430153000.jpg_1	2023	04	30	153000	2023-04-30 153000	92	83
GRAVES-XYmVV_230430154030.jpg_1	2023	04	30	154030	2023-04-30 154030	88	80
GRAVES-XYmVV_230430155829.jpg_2	2023	04	30	155829	2023-04-30 155829	86	99
GRAVES-XYmVV_230430161030.jpg_1	2023	04	30	161030	2023-04-30 161030	99	71
GRAVES-XYmVV_230430161629.jpg_1	2023	04	30	161629	2023-04-30 161629	88	72
GRAVES-XYmVV_230430162359.jpg_1	2023	04	30	162359	2023-04-30 162359	92	76
GRAVES-XYmVV_230430162830.jpg_1	2023	04	30	162830	2023-04-30 162830	120	80
GRAVES-XYmVV_230430164929.jpg_1	2023	04	30	164929	2023-04-30 164929	93	98
GRAVES-XYmVV_230430180429.jpg_1	2023	04	30	180429	2023-04-30 180429	82	80
GRAVES-XYmVV_230430181500.jpg_1	2023	04	30	181500	2023-04-30 181500	91	76
GRAVES-XYmVV_230430183300.jpg_1	2023	04	30	183300	2023-04-30 183300	88	74
GRAVES-XYmVV_230430184800.jpg_1	2023	04	30	184800	2023-04-30 184800	90	84
GRAVES-XYmVV_230430190730.jpg_1	2023	04	30	190730	2023-04-30 190730	92	73
GRAVES-XYmVV_230430200300.jpg_1	2023	04	30	200300	2023-04-30 200300	107	89
GRAVES-XYmVV_230430205659.jpg_1	2023	04	30	205659	2023-04-30 205659	89	74
GRAVES-XYmVV_230430211030.jpg_2	2023	04	30	211030	2023-04-30 211030	105	113
GRAVES-XYmVV_230430213859.jpg_1	2023	04	30	213859	2023-04-30 213859	105	87
GRAVES-XYmVV_230430220129.jpg_1	2023	04	30	220129	2023-04-30 220129	89	80
GRAVES-XYmVV_230430220300.jpg_1	2023	04	30	220300	2023-04-30 220300	76	77
GRAVES-XYmVV_230430221929.jpg_1	2023	04	30	221929	2023-04-30 221929	117	138
GRAVES-XYmVV_230430222100.jpg_1	2023	04	30	222100	2023-04-30 222100	131	104
GRAVES-XYmVV_230430222659.jpg_1	2023	04	30	222659	2023-04-30 222659	96	83
GRAVES-XYmVV_230430224030.jpg_1	2023	04	30	224030	2023-04-30 224030	131	85
GRAVES-XYmVV_230430231500.jpg_1	2023	04	30	231500	2023-04-30 231500	85	96
GRAVES-XYmVV_230430233000.jpg_1	2023	04	30	233000	2023-04-30 233000	134	100
GRAVES-XYmVV_230430233859.jpg_1	2023	04	30	233859	2023-04-30 233859	97	82
GRAVES-XYmVV_230430234500.jpg_1	2023	04	30	234500	2023-04-30 234500	152	116
GRAVES-XYmVV_230501000600.jpg_1	2023	05	01	000600	2023-05-01 000600	79	78
GRAVES-XYmVV_230501005700.jpg_1	2023	05	01	005700	2023-05-01 005700	86	103
GRAVES-XYmVV_230501010000.jpg_1	2023	05	01	010000	2023-05-01 010000	82	78
GRAVES-XYmVV_230501011030.jpg_1	2023	05	01	011030	2023-05-01 011030	121	79
GRAVES-XYmVV_230501011330.jpg_1	2023	05	01	011330	2023-05-01 011330	99	72
GRAVES-XYmVV_230501012230.jpg_1	2023	05	01	012230	2023-05-01 012230	99	74
GRAVES-XYmVV_230501013300.jpg_1	2023	05	01	013300	2023-05-01 013300	87	70
GRAVES-XYmVV_230501013600.jpg_1	2023	05	01	013600	2023-05-01 013600	100	77
GRAVES-XYmVV_230501014030.jpg_1	2023	05	01	014030	2023-05-01 014030	93	72
GRAVES-XYmVV_230501015359.jpg_1	2023	05	01	015359	2023-05-01 015359	95	71
GRAVES-XYmVV_230501021500.jpg_1	2023	05	01	021500	2023-05-01 021500	125	85
GRAVES-XYmVV_230501022100.jpg_1	2023	05	01	022100	2023-05-01 022100	89	70
GRAVES-XYmVV_230501022230.jpg_1	2023	05	01	022230	2023-05-01 022230	124	145
GRAVES-XYmVV_230501023600.jpg_1	2023	05	01	023600	2023-05-01 023600	92	81
GRAVES-XYmVV_230501032359.jpg_1	2023	05	01	032359	2023-05-01 032359	119	77
GRAVES-XYmVV_230501034629.jpg_1	2023	05	01	034629	2023-05-01 034629	98	100
GRAVES-XYmVV_230501035529.jpg_1	2023	05	01	035529	2023-05-01 035529	105	71
GRAVES-XYmVV_230501040430.jpg_1	2023	05	01	040430	2023-05-01 040430	94	83
GRAVES-XYmVV_230501040900.jpg_1	2023	05	01	040900	2023-05-01 040900	106	84
GRAVES-XYmVV_230501041029.jpg_1	2023	05	01	041029	2023-05-01 041029	99	80
GRAVES-XYmVV_230501041930.jpg_1	2023	05	01	041930	2023-05-01 041930	107	108
GRAVES-XYmVV_230501044200.jpg_1	2023	05	01	044200	2023-05-01 044200	78	79
GRAVES-XYmVV_230501044759.jpg_2	2023	05	01	044759	2023-05-01 044759	81	90
GRAVES-XYmVV_230501044930.jpg_1	2023	05	01	044930	2023-05-01 044930	83	68
GRAVES-XYmVV_230501045230.jpg_2	2023	05	01	045230	2023-05-01 045230	83	91
GRAVES-XYmVV_230501045529.jpg_1	2023	05	01	045529	2023-05-01 045529	160	222
GRAVES-XYmVV_230501050430.jpg_1	2023	05	01	050430	2023-05-01 050430	104	87
GRAVES-XYmVV_230501053559.jpg_1	2023	05	01	053559	2023-05-01 053559	89	78
GRAVES-XYmVV_230501055230.jpg_1	2023	05	01	055230	2023-05-01 055230	86	97
GRAVES-XYmVV_230501055400.jpg_1	2023	05	01	055400	2023-05-01 055400	175	205
GRAVES-XYmVV_230501055529.jpg_1	2023	05	01	055529	2023-05-01 055529	135	146
GRAVES-XYmVV_230501060430.jpg_2	2023	05	01	060430	2023-05-01 060430	123	91
GRAVES-XYmVV_230501060559.jpg_1	2023	05	01	060559	2023-05-01 060559	267	290
GRAVES-XYmVV_230501060900.jpg_1	2023	05	01	060900	2023-05-01 060900	140	166
GRAVES-XYmVV_230501061759.jpg_1	2023	05	01	061759	2023-05-01 061759	120	78
GRAVES-XYmVV_230501062529.jpg_1	2023	05	01	062529	2023-05-01 062529	118	132
GRAVES-XYmVV_230501063259.jpg_1	2023	05	01	063259	2023-05-01 063259	125	131
GRAVES-XYmVV_230501064759.jpg_1	2023	05	01	064759	2023-05-01 064759	82	73
GRAVES-XYmVV_230501065059.jpg_1	2023	05	01	065059	2023-05-01 065059	80	72
GRAVES-XYmVV_230501070000.jpg_1	2023	05	01	070000	2023-05-01 070000	89	76
GRAVES-XYmVV_230501070130.jpg_2	2023	05	01	070130	2023-05-01 070130	87	69
GRAVES-XYmVV_230501070259.jpg_1	2023	05	01	070259	2023-05-01 070259	184	245
GRAVES-XYmVV_230501071200.jpg_1	2023	05	01	071200	2023-05-01 071200	92	97
GRAVES-XYmVV_230501071329.jpg_1	2023	05	01	071329	2023-05-01 071329	81	67
GRAVES-XYmVV_230501071500.jpg_1	2023	05	01	071500	2023-05-01 071500	109	83
GRAVES-XYmVV_230501074200.jpg_1	2023	05	01	074200	2023-05-01 074200	157	105
GRAVES-XYmVV_230501080559.jpg_1	2023	05	01	080559	2023-05-01 080559	111	78
GRAVES-XYmVV_230501084630.jpg_1	2023	05	01	084630	2023-05-01 084630	82	86
GRAVES-XYmVV_230501084800.jpg_1	2023	05	01	084800	2023-05-01 084800	81	72
GRAVES-XYmVV_230501090300.jpg_1	2023	05	01	090300	2023-05-01 090300	100	81
GRAVES-XYmVV_230501090730.jpg_1	2023	05	01	090730	2023-05-01 090730	105	81
GRAVES-XYmVV_230501091030.jpg_1	2023	05	01	091030	2023-05-01 091030	115	133
GRAVES-XYmVV_230501091800.jpg_1	2023	05	01	091800	2023-05-01 091800	92	103
GRAVES-XYmVV_230501092829.jpg_1	2023	05	01	092829	2023-05-01 092829	116	85
GRAVES-XYmVV_230501093300.jpg_1	2023	05	01	093300	2023-05-01 093300	141	188
GRAVES-XYmVV_230501094630.jpg_1	2023	05	01	094630	2023-05-01 094630	92	69
GRAVES-XYmVV_230501094929.jpg_1	2023	05	01	094929	2023-05-01 094929	84	82
GRAVES-XYmVV_230501095829.jpg_2	2023	05	01	095829	2023-05-01 095829	81	96
GRAVES-XYmVV_230501103000.jpg_1	2023	05	01	103000	2023-05-01 103000	86	98
GRAVES-XYmVV_230501112659.jpg_1	2023	05	01	112659	2023-05-01 112659	140	124
GRAVES-XYmVV_230501112829.jpg_1	2023	05	01	112829	2023-05-01 112829	146	119
GRAVES-XYmVV_230501113900.jpg_1	2023	05	01	113900	2023-05-01 113900	96	104
GRAVES-XYmVV_230501114929.jpg_1	2023	05	01	114929	2023-05-01 114929	86	75
GRAVES-XYmVV_230501120730.jpg_1	2023	05	01	120730	2023-05-01 120730	86	69
GRAVES-XYmVV_230501121800.jpg_1	2023	05	01	121800	2023-05-01 121800	90	81
GRAVES-XYmVV_230501122059.jpg_1	2023	05	01	122059	2023-05-01 122059	89	100
GRAVES-XYmVV_230501123000.jpg_1	2023	05	01	123000	2023-05-01 123000	80	67
GRAVES-XYmVV_230501125659.jpg_1	2023	05	01	125659	2023-05-01 125659	82	72
GRAVES-XYmVV_230501130730.jpg_1	2023	05	01	130730	2023-05-01 130730	117	85
GRAVES-XYmVV_230501131159.jpg_1	2023	05	01	131159	2023-05-01 131159	94	86
GRAVES-XYmVV_230501131329.jpg_1	2023	05	01	131329	2023-05-01 131329	81	87
GRAVES-XYmVV_230501132530.jpg_1	2023	05	01	132530	2023-05-01 132530	110	106
GRAVES-XYmVV_230501133130.jpg_1	2023	05	01	133130	2023-05-01 133130	175	170
GRAVES-XYmVV_230501133559.jpg_1	2023	05	01	133559	2023-05-01 133559	87	79
GRAVES-XYmVV_230501135400.jpg_1	2023	05	01	135400	2023-05-01 135400	100	87
GRAVES-XYmVV_230501141159.jpg_2	2023	05	01	141159	2023-05-01 141159	76	72
GRAVES-XYmVV_230501141329.jpg_1	2023	05	01	141329	2023-05-01 141329	96	87
GRAVES-XYmVV_230501142400.jpg_1	2023	05	01	142400	2023-05-01 142400	86	66
GRAVES-XYmVV_230501143730.jpg_1	2023	05	01	143730	2023-05-01 143730	78	75
GRAVES-XYmVV_230501144929.jpg_1	2023	05	01	144929	2023-05-01 144929	114	95
GRAVES-XYmVV_230501145400.jpg_1	2023	05	01	145400	2023-05-01 145400	82	70
GRAVES-XYmVV_230501153429.jpg_1	2023	05	01	153429	2023-05-01 153429	153	152
GRAVES-XYmVV_230501154329.jpg_1	2023	05	01	154329	2023-05-01 154329	140	103
GRAVES-XYmVV_230501160429.jpg_1	2023	05	01	160429	2023-05-01 160429	93	88
GRAVES-XYmVV_230501160859.jpg_1	2023	05	01	160859	2023-05-01 160859	98	71
GRAVES-XYmVV_230501165359.jpg_1	2023	05	01	165359	2023-05-01 165359	100	80
GRAVES-XYmVV_230501170730.jpg_1	2023	05	01	170730	2023-05-01 170730	106	73
GRAVES-XYmVV_230501171800.jpg_1	2023	05	01	171800	2023-05-01 171800	95	96
GRAVES-XYmVV_230501174330.jpg_1	2023	05	01	174330	2023-05-01 174330	90	78
GRAVES-XYmVV_230501174500.jpg_1	2023	05	01	174500	2023-05-01 174500	89	76
GRAVES-XYmVV_230501182530.jpg_1	2023	05	01	182530	2023-05-01 182530	119	86
GRAVES-XYmVV_230501183859.jpg_1	2023	05	01	183859	2023-05-01 183859	103	96
GRAVES-XYmVV_230501192100.jpg_1	2023	05	01	192100	2023-05-01 192100	99	75
GRAVES-XYmVV_230501192230.jpg_1	2023	05	01	192230	2023-05-01 192230	88	71
GRAVES-XYmVV_230501192830.jpg_1	2023	05	01	192830	2023-05-01 192830	133	96
GRAVES-XYmVV_230501194030.jpg_1	2023	05	01	194030	2023-05-01 194030	83	79
GRAVES-XYmVV_230501195100.jpg_1	2023	05	01	195100	2023-05-01 195100	78	78
GRAVES-XYmVV_230501200730.jpg_1	2023	05	01	200730	2023-05-01 200730	114	81
GRAVES-XYmVV_230501203429.jpg_1	2023	05	01	203429	2023-05-01 203429	127	115
GRAVES-XYmVV_230501203859.jpg_1	2023	05	01	203859	2023-05-01 203859	96	97
GRAVES-XYmVV_230501204500.jpg_1	2023	05	01	204500	2023-05-01 204500	83	83
GRAVES-XYmVV_230501213129.jpg_1	2023	05	01	213129	2023-05-01 213129	84	81
GRAVES-XYmVV_230501213600.jpg_1	2023	05	01	213600	2023-05-01 213600	105	75
GRAVES-XYmVV_230501214929.jpg_1	2023	05	01	214929	2023-05-01 214929	83	73
GRAVES-XYmVV_230501215230.jpg_1	2023	05	01	215230	2023-05-01 215230	91	72
GRAVES-XYmVV_230501215659.jpg_1	2023	05	01	215659	2023-05-01 215659	132	97
GRAVES-XYmVV_230501215830.jpg_1	2023	05	01	215830	2023-05-01 215830	120	95
GRAVES-XYmVV_230501223859.jpg_2	2023	05	01	223859	2023-05-01 223859	73	71
GRAVES-XYmVV_230501224030.jpg_1	2023	05	01	224030	2023-05-01 224030	105	93
GRAVES-XYmVV_230501231030.jpg_1	2023	05	01	231030	2023-05-01 231030	102	84
GRAVES-XYmVV_230501231629.jpg_1	2023	05	01	231629	2023-05-01 231629	93	82
GRAVES-XYmVV_230501232830.jpg_1	2023	05	01	232830	2023-05-01 232830	117	81
GRAVES-XYmVV_230502001500.jpg_1	2023	05	02	001500	2023-05-02 001500	115	88
GRAVES-XYmVV_230502001630.jpg_1	2023	05	02	001630	2023-05-02 001630	85	81
GRAVES-XYmVV_230502003430.jpg_1	2023	05	02	003430	2023-05-02 003430	91	75
GRAVES-XYmVV_230502003730.jpg_1	2023	05	02	003730	2023-05-02 003730	91	95
GRAVES-XYmVV_230502004030.jpg_1	2023	05	02	004030	2023-05-02 004030	91	71
GRAVES-XYmVV_230502004500.jpg_1	2023	05	02	004500	2023-05-02 004500	89	87
GRAVES-XYmVV_230502004630.jpg_1	2023	05	02	004630	2023-05-02 004630	100	77
GRAVES-XYmVV_230502011030.jpg_1	2023	05	02	011030	2023-05-02 011030	82	73
GRAVES-XYmVV_230502011330.jpg_2	2023	05	02	011330	2023-05-02 011330	79	73
GRAVES-XYmVV_230502011500.jpg_1	2023	05	02	011500	2023-05-02 011500	105	71
GRAVES-XYmVV_230502012230.jpg_1	2023	05	02	012230	2023-05-02 012230	78	81
GRAVES-XYmVV_230502020259.jpg_1	2023	05	02	020259	2023-05-02 020259	93	84
GRAVES-XYmVV_230502020859.jpg_1	2023	05	02	020859	2023-05-02 020859	129	202
GRAVES-XYmVV_230502021330.jpg_1	2023	05	02	021330	2023-05-02 021330	111	120
GRAVES-XYmVV_230502021930.jpg_1	2023	05	02	021930	2023-05-02 021930	77	73
